Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
-2.51E-05,-1.93E-06,1.08E-07,-4.92E-09,2.21E-09,-3.43E-10,-1.31E-05,-4.04E-08,1.63E-05,9.76E-07,-1.07E-07,5.77E-09,-9.70E-07,0.251
-2.20E-05,-2.17E-06,1.03E-07,-3.86E-09,3.58E-09,-3.13E-10,-1.25E-05,-4.35E-08,1.65E-05,8.45E-07,-2.34E-07,5.36E-09,-8.12E-07,0.261
-1.89E-05,-2.37E-06,9.56E-08,-2.87E-09,4.56E-09,-2.71E-10,-1.17E-05,-4.61E-08,1.66E-05,7.43E-07,-3.53E-07,4.91E-09,-6.53E-07,0.271
-1.57E-05,-2.54E-06,8.71E-08,-1.96E-09,5.13E-09,-2.22E-10,-1.08E-05,-4.77E-08,1.65E-05,6.79E-07,-4.65E-07,4.45E-09,-4.95E-07,0.281
-1.27E-05,-2.68E-06,7.87E-08,-1.13E-09,5.37E-09,-1.70E-10,-9.81E-06,-4.84E-08,1.62E-05,6.60E-07,-5.67E-07,3.98E-09,-3.38E-07,0.291
-9.66E-06,-2.79E-06,7.10E-08,-3.90E-10,5.35E-09,-1.16E-10,-8.74E-06,-4.83E-08,1.59E-05,6.83E-07,-6.58E-07,3.50E-09,-1.84E-07,0.301
-6.80E-06,-2.87E-06,6.37E-08,2.79E-10,5.14E-09,-6.34E-11,-7.63E-06,-4.76E-08,1.55E-05,7.40E-07,-7.39E-07,3.02E-09,-3.26E-08,0.311
-4.10E-06,-2.92E-06,5.68E-08,8.78E-10,4.81E-09,-1.37E-11,-6.51E-06,-4.62E-08,1.50E-05,8.16E-07,-8.08E-07,2.55E-09,1.14E-07,0.321
-1.57E-06,-2.95E-06,5.02E-08,1.41E-09,4.40E-09,3.21E-11,-5.41E-06,-4.45E-08,1.44E-05,9.04E-07,-8.67E-07,2.10E-09,2.56E-07,0.331
7.66E-07,-2.95E-06,4.38E-08,1.88E-09,3.95E-09,7.37E-11,-4.34E-06,-4.24E-08,1.38E-05,9.95E-07,-9.15E-07,1.67E-09,3.92E-07,0.341
2.90E-06,-2.93E-06,3.77E-08,2.28E-09,3.47E-09,1.11E-10,-3.30E-06,-4.01E-08,1.30E-05,1.09E-06,-9.52E-07,1.26E-09,5.22E-07,0.351
4.82E-06,-2.89E-06,3.18E-08,2.62E-09,3.00E-09,1.43E-10,-2.31E-06,-3.76E-08,1.22E-05,1.17E-06,-9.79E-07,8.76E-10,6.44E-07,0.361
6.53E-06,-2.84E-06,2.62E-08,2.91E-09,2.53E-09,1.70E-10,-1.38E-06,-3.49E-08,1.14E-05,1.25E-06,-9.97E-07,5.16E-10,7.59E-07,0.371
8.02E-06,-2.76E-06,2.08E-08,3.14E-09,2.06E-09,1.93E-10,-5.14E-07,-3.21E-08,1.05E-05,1.33E-06,-1.01E-06,1.82E-10,8.65E-07,0.381
9.31E-06,-2.68E-06,1.56E-08,3.32E-09,1.62E-09,2.11E-10,2.87E-07,-2.93E-08,9.51E-06,1.39E-06,-1.01E-06,-1.23E-10,9.62E-07,0.391
1.04E-05,-2.58E-06,1.08E-08,3.45E-09,1.19E-09,2.25E-10,1.02E-06,-2.64E-08,8.53E-06,1.45E-06,-1.00E-06,-4.00E-10,1.05E-06,0.401
1.13E-05,-2.47E-06,6.39E-09,3.54E-09,7.90E-10,2.34E-10,1.68E-06,-2.36E-08,7.53E-06,1.50E-06,-9.86E-07,-6.48E-10,1.13E-06,0.411
1.20E-05,-2.35E-06,2.31E-09,3.58E-09,4.19E-10,2.40E-10,2.27E-06,-2.07E-08,6.51E-06,1.54E-06,-9.66E-07,-8.68E-10,1.20E-06,0.421
1.25E-05,-2.23E-06,-1.39E-09,3.58E-09,8.83E-11,2.43E-10,2.79E-06,-1.79E-08,5.49E-06,1.57E-06,-9.41E-07,-1.06E-09,1.26E-06,0.431
1.28E-05,-2.10E-06,-4.70E-09,3.55E-09,-1.98E-10,2.42E-10,3.24E-06,-1.51E-08,4.48E-06,1.59E-06,-9.11E-07,-1.22E-09,1.31E-06,0.441
1.31E-05,-1.97E-06,-7.62E-09,3.48E-09,-4.37E-10,2.39E-10,3.62E-06,-1.24E-08,3.47E-06,1.61E-06,-8.76E-07,-1.36E-09,1.35E-06,0.451
1.31E-05,-1.84E-06,-1.02E-08,3.39E-09,-6.29E-10,2.33E-10,3.94E-06,-9.84E-09,2.49E-06,1.61E-06,-8.38E-07,-1.47E-09,1.38E-06,0.461
1.31E-05,-1.71E-06,-1.24E-08,3.28E-09,-7.64E-10,2.26E-10,4.20E-06,-7.37E-09,1.53E-06,1.61E-06,-7.98E-07,-1.56E-09,1.40E-06,0.471
